Alpha, Beta, Eyes
0.379634,0.04691276,0
0.4051243,0.06006196,0
0.4137439,0.07477978,0
0.418843,0.09019973,0
0.4221975,0.1066215,0
0.4325186,0.1218508,0
0.447748,0.131341,0
0.4530225,0.1334776,0
0.4526465,0.1313987,0
0.4473032,0.1295605,0
0.4340495,0.1301591,0
0.4268857,0.1327492,0
0.427223,0.137184,0
0.4249546,0.1433356,0
0.4250067,0.1482934,0
0.4279057,0.1491712,0
0.4187518,0.1460757,0
0.4018856,0.1412573,0
0.3812776,0.1352423,0
0.3656554,0.1264907,0
0.3586345,0.1152716,0
0.3820786,0.1067688,0
0.4283469,0.105104,0
0.4631691,0.1089079,0
0.4725619,0.1134241,0
0.4745011,0.1150529,0
0.486234,0.1123365,0
0.5144227,0.1058417,0
0.5621343,0.1006913,0
0.6385805,0.1057273,1
0.7017956,0.1249065,1
0.7268358,0.1498519,1
0.7340541,0.1673439,1
0.7386008,0.1758326,1
0.7582096,0.1917572,1
0.7603098,0.2222417,1
0.8010426,0.2692423,1
0.8585212,0.3175461,1
0.8582979,0.3562724,1
0.8180668,0.3831647,1
0.772782,0.4012969,1
0.7361867,0.4154339,1
0.7173003,0.4198806,1
0.7227191,0.4221366,1
0.7231852,0.4082756,1
0.7177607,0.3772556,1
0.7064521,0.3347261,1
0.681554,0.2952543,1
0.661292,0.2657273,1
0.5231123,0.2339611,1
0.526336,0.2265649,1
0.5396438,0.2088421,1
0.538029,0.1709701,1
0.4926121,0.1287671,1
0.3871528,0.09466107,1
0.3313176,0.07551918,1
0.3368559,0.06855224,1
0.3329229,0.06704112,1
0.3252472,0.06134738,1
0.3250148,0.06291856,1
0.3263413,0.06781386,1
0.3289765,0.07494779,1
0.3977041,0.1203204,1
0.4402763,0.1611682,1
0.4645398,0.1957697,1
0.4702604,0.2231804,1
0.473134,0.2381814,1
0.4736605,0.2238677,1
0.4745619,0.203192,1
0.5022225,0.1822238,1
0.5940872,0.1646478,1
0.6562164,0.149415,1
0.6504407,0.1344036,1
0.622322,0.1196932,1
0.5896022,0.1076728,1
0.5728954,0.1007042,1
0.5798419,0.1031624,1
0.6320183,0.1096718,1
0.702437,0.1174259,1
0.743659,0.1208569,1
0.7513078,0.1155116,1
0.7442856,0.1035991,1
0.7399988,0.09274649,1
0.7385938,0.08541071,1
0.7362533,0.07674515,1
0.734118,0.06076746,1
0.7163801,0.05013446,1
0.6497148,0.0450369,1
0.5936849,0.05357801,1
0.5761549,0.06672439,1
0.6205464,0.07174535,1
0.6466994,0.06591038,1
0.6559811,0.0546524,1
0.6649312,0.03990914,1
0.6654666,0.02415157,1
0.6271325,0.01027534,1
0.538078,0.0001107401,1
0.4586592,-0.006696182,1
0.4363637,-0.01128495,1
0.4141974,-0.01364191,1
0.4020412,-0.01325112,1
0.4045154,-0.01242131,1
0.4139104,-0.008720571,1
0.4134238,-0.005586209,1
0.3998139,-0.003675619,1
0.3825815,-0.001236205,1
0.3674278,0.003071858,1
0.3584861,0.01150425,1
0.3952825,0.02487463,1
0.4749993,0.04095108,1
0.4976105,0.05610636,1
0.499669,0.06792967,1
0.500285,0.07610193,1
0.4996653,0.081655,1
0.5197929,0.08591246,1
0.5614195,0.09056265,1
0.656826,0.09889054,1
0.7378193,0.1139088,1
0.7806454,0.1336517,1
0.7843941,0.152755,1
0.7843941,0.1661553,1
0.7843941,0.1714605,1
0.7843941,0.1676162,1
0.7841762,0.1562768,1
0.7759453,0.142748,1
0.692045,0.1333256,1
0.5614443,0.1316134,1
0.4853341,0.135282,1
0.4645554,0.1394694,1
0.4574148,0.1420826,1
0.449882,0.1434958,1
0.4426589,0.1434964,1
0.419638,0.1380136,1
0.3877353,0.1236154,1
0.3430177,0.1029391,1
0.2912508,0.08522382,1
0.2639214,0.0787668,1
0.3171138,0.08177929,1
0.410365,0.08746227,0
0.4878016,0.09016038,0
0.5238836,0.09042852,0
0.5416466,0.09301052,0
0.5500952,0.1012666,0
0.5546067,0.1074284,0
0.5816197,0.1172981,0
0.6406922,0.1285492,0
0.6891897,0.1385977,0
0.709659,0.1457674,0
0.7183216,0.1497882,0
0.7197303,0.15137,0
0.7190797,0.1508641,0
0.7169192,0.1487133,0
0.7080713,0.1479799,0
0.8055726,0.1882879,0
0.8364521,0.2319491,0
0.833473,0.2632741,0
0.8138478,0.2747284,0
0.6904846,0.2696348,0
0.7209577,0.2592072,0
0.7917004,0.2535223,0
0.7903724,0.2505541,0
0.7845891,0.2449907,0
0.7539097,0.2366252,0
0.6923324,0.2270603,0
0.6305571,0.2198716,0
0.5976285,0.2186181,0
0.5861334,0.2236128,0
0.584505,0.2329943,0
0.5834508,0.2382038,0
0.6085235,0.2363659,0
0.7049875,0.2085827,0
0.8887565,0.2341807,0
0.8833371,0.2477379,0
0.8788191,0.2449542,0
0.8209375,0.2303128,0
0.8379161,0.2236535,0
0.8536576,0.2266249,0
0.8643441,0.2312987,0
0.8660774,0.2331468,0
0.8674875,0.2337234,0
0.8704047,0.2357454,0
0.8753668,0.2386828,0
0.8773693,0.2392702,0
0.8777539,0.2350984,0
0.8516667,0.2255006,0
0.8247052,0.2186345,0
0.7895837,0.1998154,0
0.7218553,0.1823659,0
0.6445934,0.1710707,0
0.594564,0.1641584,0
0.5792915,0.1555287,0
0.5692297,0.1421043,0
0.5498002,0.1244448,0
0.5144078,0.1046827,0
0.4642295,0.08619427,0
0.4333288,0.07190529,0
0.4289471,0.06388731,0
0.4255021,0.06349385,0
0.4203043,0.07062662,0
0.415778,0.08049174,0
0.4156602,0.08820053,0
0.4263142,0.09117503,0
0.4402793,0.089763,0
0.4554791,0.08547714,0
0.4448379,0.08022778,0
0.4211019,0.07590175,0
0.4084333,0.0735621,0
0.392212,0.07426753,0
0.3770974,0.07934166,0
0.3701543,0.08810456,0
0.3745307,0.09618166,0
0.3827596,0.0980586,0
0.3881984,0.09184045,0
0.3892359,0.07926236,0
0.3904335,0.06477953,0
0.3888983,0.05206737,0
0.3872528,0.04323222,0
0.3852923,0.03880928,0
0.3783311,0.0382334,0
0.3679846,0.04041188,0
0.3591373,0.04247253,0
0.3263064,0.04116183,0
0.2771363,0.03473903,0
0.2561847,0.02278305,0
0.2510799,0.006108082,0
0.2460992,-0.01320565,0
0.2265985,-0.03196036,0
0.2056021,-0.04652427,0
0.1998414,-0.05503361,0
0.1955456,-0.05689103,0
0.1908205,-0.05243689,0
0.1932446,-0.04214594,0
0.2069941,-0.0260867,0
0.2297051,-0.004564221,0
0.2418084,0.0190269,0
0.2399156,0.03969176,0
0.225732,0.05470877,0
0.2222437,0.06492826,0
0.2316723,0.07303908,0
0.224501,0.08024306,0
0.2196765,0.08614403,0
0.2289858,0.09027265,0
0.2341832,0.0921895,0
0.2384321,0.09166022,0
0.2504851,0.08813418,0
0.2613969,0.08101248,0
0.2682935,0.06946388,0
0.267331,0.05213246,0
0.2692377,0.02956108,0
0.2675318,0.006823182,0
0.2696057,-0.006237805,0
0.2713683,-0.002203851,0
0.2773101,0.01560295,0
0.2864323,0.035519,0
0.2901416,0.05002072,0
0.3018899,0.0615752,0
0.3633529,0.0762204,0
0.4558882,0.09528269,0
0.5230451,0.1152481,0
0.5890518,0.1329861,0
0.6388085,0.1478838,0
0.655525,0.1601329,0
0.6592183,0.1700692,0
0.6592183,0.1779375,0
0.6588075,0.1833063,0
0.6588209,0.1844349,0
0.6606659,0.1798895,0
0.6724816,0.171817,0
0.6957353,0.1658567,0
0.7150299,0.1655389,0
0.7221385,0.1674032,0
0.7215856,0.1643943,0
0.718546,0.153249,0
0.6976337,0.1363695,0
0.6468961,0.1179139,0
0.5706962,0.1006855,0
0.5212403,0.08700579,0
0.5262635,0.07868304,0
0.5531577,0.0757688,0
0.5662493,0.07588741,0
0.5725141,0.07548252,0
0.5756706,0.07146853,0
0.5772855,0.06177231,0
0.5747494,0.04616869,0
0.5645655,0.02786324,0
0.5483691,0.01237416,0
0.5282952,0.003696757,0
0.5058732,0.001171684,0
0.4949299,0.001857045,0
0.4925471,0.003434806,0
0.4907308,0.005394674,0
0.4879607,0.007118893,0
0.4814126,0.007863044,0
0.4566856,0.007489616,0
0.4034024,0.006155753,0
0.3203373,0.005201076,0
0.2845164,0.007238439,0
0.2768278,0.01298422,0
0.2976865,0.02072023,0
0.3303843,0.02729695,0
0.3715561,0.03188156,0
0.4145683,0.0360973,0
0.4413332,0.04175971,0
0.4528885,0.04743269,0
0.4596677,0.05101113,0
0.4603245,0.05152769,0
0.463442,0.0497642,0
0.4639555,0.04761671,0
0.4639555,0.04729314,0
0.4629958,0.05016923,0
0.4605928,0.05500988,0
0.4478379,0.05834515,0
0.4394293,0.05769223,0
0.4331865,0.05342845,0
0.4157712,0.0481365,0
0.3947171,0.04430169,0
0.3836304,0.04404823,0
0.3570919,0.04800008,0
0.3111421,0.05473725,0
0.2772421,0.0605599,0
0.2688119,0.06281666,0
0.2866322,0.06229346,0
0.3060279,0.06142495,0
0.3093918,0.06092991,0
0.3268293,0.05986737,0
0.3416185,0.05897524,0
0.350903,0.06105974,0
0.3568052,0.06773182,0
0.3611177,0.07595953,0
0.3659049,0.08117781,0
0.3684187,0.08122787,0
0.3786366,0.07619266,0
0.3891569,0.06749743,0
0.3964722,0.05735615,0
0.3979319,0.04967639,0
0.3946049,0.04766094,0
0.3801282,0.05142725,0
0.3560624,0.05893528,0
0.3393332,0.06816767,0
0.3264345,0.07748228,0
0.3290622,0.08541977,0
0.3444211,0.09091475,0
0.3572139,0.09302049,0
0.3738581,0.09124841,0
0.3921188,0.0857354,0
0.4059893,0.07872082,0
0.4156306,0.07326195,0
0.4156972,0.07095345,0
0.4297113,0.07072584,0
0.4522922,0.07025883,0
0.4696997,0.06774557,0
0.475225,0.06217477,0
0.4705638,0.05331025,0
0.4672388,0.04119787,0
0.4685902,0.02688426,0
0.4666825,0.01278562,0
0.465355,0.003554829,0
0.4733467,0.004191789,0
0.5293717,0.01695249,0
0.664124,0.03857091,0
0.7977253,0.06096918,0
0.8873742,0.07770168,1
0.9239381,0.08868279,1
0.9335106,0.1008277,1
0.9506777,0.1253227,1
0.9949114,0.1747608,1
1.050606,0.2472221,1
1.099281,0.3290957,1
1.111053,0.3805324,1
1.114319,0.4276299,1
